,hex_id,U-Bahn,S-Bahn,DB,R-Bahn,Bus,rank,population,under_18s,share_under_18s,65yo_and_older,share_65yo_and_older,foreigners,share_foreigners,pop_w_migration_bg,share_pop_w_migration_bg,under_18_mig_bg,share_under_18_mig_bg,hh,ppl_per_hh,single_per_hh,share_single_per_hh,hh_w_chld,share_hh_w_chld,sngl_parent,share_sngl_parent,area_km,pop_dnsty,births,deaths,immigration,moving_away,migr_balance,social_insur,employment_rate,unemployed,share_unemployed,yng_unemployed,share_yng_unemployed,old_unemployed,share_old_unemployed,sgb_2,share_sgb_2,under_15_min_security,share_under_15_min_security,community_of_needs_sgb_2,taxpayers,total_income_per_taxpayer,residental_bldngs,apartments,ready_to_move_apt,apt_in_houses,share_apt_in_houses,apt_size,living_space_per_inhab,social_housing,share_social_housing,land_prices,kita_preschool,primary_schools,share_high_school_stud,doctors,practitioners,dentists,pharmacies,private_cars,car_density,geometry,counts
848,891f153739bffff,0,0,0,0,1,0,1361.0,206.0,15.13592946,274.0,20.13225569,148.0,10.87435709,297.0,22.0,64.0,31.68316832,668.0,2.05988024,267.0,39.97005988,124.0,18.56287425,24.0,19.35483871,8.637358433,157.5713235,10.0,16.0,195.0,177.0,18.0,566.0,61.3,21.0,2.272727273,3.0,2.040816327,6.0,2.816901408,17.0,1.2490815579999999,4.0,2.45398773,12.0,696.0,38369.0,455.0,594.0,5.0,502.0,84.51178451,114.85185190000001,50.12637766,0.0,0.0,226.0,2.0,0.0,41.55844156,0.0,0.0,2.0,0.0,762.0,559.8824394,"{'type': 'Polygon', 'coordinates': [[[10.109276578606421, 53.50017029104488], [10.10948283151996, 53.49857536862691], [10.112108084577411, 53.498002423789494], [10.114527198558116, 53.49902438984439], [10.114321064571957, 53.50061932771165], [10.11169569767448, 53.50119228407611], [10.109276578606421, 53.50017029104488]]]}",1
849,891f15373a3ffff,0,1,0,0,0,2,3784.0,1170.0,30.91966173,318.0,8.403805497,2651.0,70.05813953,2716.0,73.14839752,1000.0,87.33624454,1312.0,2.733993902,374.0,28.50609756,499.0,38.03353659,77.0,15.43086172,9.469395087999999,399.6031388,70.0,18.0,2562.0,380.0,2182.0,461.0,29.7,25.0,1.0084711579999999,3.0,0.4807692308,4.0,1.544401544,1870.0,49.41860465,688.0,69.70618034,661.0,643.0,30575.0,383.0,560.0,1.0,406.0,72.5,93.94285714,13.90274841,780.0,139.28571430000002,239.0,3.0,1.0,25.82159624,0.0,0.0,0.0,0.0,569.0,150.3699789,"{'type': 'Polygon', 'coordinates': [[[10.12724185024956, 53.49934854085884], [10.127447671836135, 53.49775350030337], [10.13007294776807, 53.49718012570222], [10.132492515888385, 53.498201780105546], [10.132286813263553, 53.499796836089075], [10.12966142355347, 53.50037022224261], [10.12724185024956, 53.49934854085884]]]}",6
850,891f15373a7ffff,0,0,0,0,1,0,3784.0,1170.0,30.91966173,318.0,8.403805497,2651.0,70.05813953,2716.0,73.14839752,1000.0,87.33624454,1312.0,2.733993902,374.0,28.50609756,499.0,38.03353659,77.0,15.43086172,9.469395087999999,399.6031388,70.0,18.0,2562.0,380.0,2182.0,461.0,29.7,25.0,1.0084711579999999,3.0,0.4807692308,4.0,1.544401544,1870.0,49.41860465,688.0,69.70618034,661.0,643.0,30575.0,383.0,560.0,1.0,406.0,72.5,93.94285714,13.90274841,780.0,139.28571430000002,239.0,3.0,1.0,25.82159624,0.0,0.0,0.0,0.0,569.0,150.3699789,"{'type': 'Polygon', 'coordinates': [[[10.132286813263553, 53.499796836089075], [10.132492515888385, 53.498201780105546], [10.135117825898542, 53.497628295165455], [10.137537547043781, 53.49864985465015], [10.137331963392892, 53.5002449260554], [10.134706539619584, 53.50081842255563], [10.132286813263553, 53.499796836089075]]]}",1
851,891f15373afffff,0,0,0,0,1,0,3784.0,1170.0,30.91966173,318.0,8.403805497,2651.0,70.05813953,2716.0,73.14839752,1000.0,87.33624454,1312.0,2.733993902,374.0,28.50609756,499.0,38.03353659,77.0,15.43086172,9.469395087999999,399.6031388,70.0,18.0,2562.0,380.0,2182.0,461.0,29.7,25.0,1.0084711579999999,3.0,0.4807692308,4.0,1.544401544,1870.0,49.41860465,688.0,69.70618034,661.0,643.0,30575.0,383.0,560.0,1.0,406.0,72.5,93.94285714,13.90274841,780.0,139.28571430000002,239.0,3.0,1.0,25.82159624,0.0,0.0,0.0,0.0,569.0,150.3699789,"{'type': 'Polygon', 'coordinates': [[[10.13007294776807, 53.49718012570222], [10.130278694853198, 53.4955850133404], [10.132903891102165, 53.495011539954625], [10.135323454024018, 53.49603316737774], [10.135117825898542, 53.497628295165455], [10.132492515888385, 53.498201780105546], [10.13007294776807, 53.49718012570222]]]}",1
852,891f15373c3ffff,0,0,0,0,1,0,1361.0,206.0,15.13592946,274.0,20.13225569,148.0,10.87435709,297.0,22.0,64.0,31.68316832,668.0,2.05988024,267.0,39.97005988,124.0,18.56287425,24.0,19.35483871,8.637358433,157.5713235,10.0,16.0,195.0,177.0,18.0,566.0,61.3,21.0,2.272727273,3.0,2.040816327,6.0,2.816901408,17.0,1.2490815579999999,4.0,2.45398773,12.0,696.0,38369.0,455.0,594.0,5.0,502.0,84.51178451,114.85185190000001,50.12637766,0.0,0.0,226.0,2.0,0.0,41.55844156,0.0,0.0,2.0,0.0,762.0,559.8824394,"{'type': 'Polygon', 'coordinates': [[[10.104851365436286, 53.49493620013336], [10.105057707137053, 53.49334116499624], [10.107682732520544, 53.492768243195435], [10.110101530035998, 53.493790345017786], [10.109895307234, 53.49538539561253], [10.107270168014564, 53.49595832892869], [10.104851365436286, 53.49493620013336]]]}",1
853,891f15373cfffff,0,0,0,0,2,0,1361.0,206.0,15.13592946,274.0,20.13225569,148.0,10.87435709,297.0,22.0,64.0,31.68316832,668.0,2.05988024,267.0,39.97005988,124.0,18.56287425,24.0,19.35483871,8.637358433,157.5713235,10.0,16.0,195.0,177.0,18.0,566.0,61.3,21.0,2.272727273,3.0,2.040816327,6.0,2.816901408,17.0,1.2490815579999999,4.0,2.45398773,12.0,696.0,38369.0,455.0,594.0,5.0,502.0,84.51178451,114.85185190000001,50.12637766,0.0,0.0,226.0,2.0,0.0,41.55844156,0.0,0.0,2.0,0.0,762.0,559.8824394,"{'type': 'Polygon', 'coordinates': [[[10.107682732520544, 53.492768243195435], [10.107888999716039, 53.4911731362436], [10.11051394553354, 53.490600115657244], [10.112932737971315, 53.491622190506824], [10.1127265896725, 53.49321731291413], [10.110101530035998, 53.493790345017786], [10.107682732520544, 53.492768243195435]]]}",2
854,891f15373d7ffff,0,0,0,0,1,0,1361.0,206.0,15.13592946,274.0,20.13225569,148.0,10.87435709,297.0,22.0,64.0,31.68316832,668.0,2.05988024,267.0,39.97005988,124.0,18.56287425,24.0,19.35483871,8.637358433,157.5713235,10.0,16.0,195.0,177.0,18.0,566.0,61.3,21.0,2.272727273,3.0,2.040816327,6.0,2.816901408,17.0,1.2490815579999999,4.0,2.45398773,12.0,696.0,38369.0,455.0,594.0,5.0,502.0,84.51178451,114.85185190000001,50.12637766,0.0,0.0,226.0,2.0,0.0,41.55844156,0.0,0.0,2.0,0.0,762.0,559.8824394,"{'type': 'Polygon', 'coordinates': [[[10.107063870702598, 53.49755330770847], [10.107270168014564, 53.49595832892869], [10.109895307234, 53.49538539561253], [10.112314262976293, 53.4964074295563], [10.112108084577411, 53.498002423789494], [10.10948283151996, 53.49857536862691], [10.107063870702598, 53.49755330770847]]]}",1
855,891f153740fffff,0,0,0,0,1,0,2097.0,650.0,30.9966619,116.0,5.531711969,1635.0,77.96852647,1806.0,85.18867925,632.0,97.38058552,628.0,1.53343949,464.0,73.88535032,68.0,10.82802548,18.0,26.47058824,6.288611786000001,333.4599227,40.0,10.0,645.0,743.0,-98.0,493.0,33.5,167.0,11.68649405,24.0,7.2507552870000005,19.0,10.98265896,1000.0,47.68717215,387.0,70.10869565,372.0,403.0,22625.0,83.0,284.0,0.0,72.0,25.35211268,65.84507042,8.917501192000001,0.0,0.0,248.0,1.0,1.0,13.364055300000002,0.0,0.0,0.0,0.0,297.0,141.6309013,"{'type': 'Polygon', 'coordinates': [[[10.080953042870606, 53.52183957923453], [10.081160041304642, 53.52024537510114], [10.083786089918267, 53.51967341830268], [10.086205254104323, 53.52069565413124], [10.085998374618793, 53.52228987373547], [10.083372211995473, 53.522861842041706], [10.080953042870606, 53.52183957923453]]]}",1
856,891f1537413ffff,0,0,0,0,1,0,2097.0,650.0,30.9966619,116.0,5.531711969,1635.0,77.96852647,1806.0,85.18867925,632.0,97.38058552,628.0,1.53343949,464.0,73.88535032,68.0,10.82802548,18.0,26.47058824,6.288611786000001,333.4599227,40.0,10.0,645.0,743.0,-98.0,493.0,33.5,167.0,11.68649405,24.0,7.2507552870000005,19.0,10.98265896,1000.0,47.68717215,387.0,70.10869565,372.0,403.0,22625.0,83.0,284.0,0.0,72.0,25.35211268,65.84507042,8.917501192000001,0.0,0.0,248.0,1.0,1.0,13.364055300000002,0.0,0.0,0.0,0.0,297.0,141.6309013,"{'type': 'Polygon', 'coordinates': [[[10.075286486474592, 53.526171389113216], [10.075493634094258, 53.524577328665536], [10.078119841722305, 53.5240055695064], [10.080539015771073, 53.52502785929237], [10.08033198710408, 53.526621935215175], [10.077705665432413, 53.52719370587826], [10.075286486474592, 53.526171389113216]]]}",1
857,891f1537417ffff,0,0,0,0,1,0,2097.0,650.0,30.9966619,116.0,5.531711969,1635.0,77.96852647,1806.0,85.18867925,632.0,97.38058552,628.0,1.53343949,464.0,73.88535032,68.0,10.82802548,18.0,26.47058824,6.288611786000001,333.4599227,40.0,10.0,645.0,743.0,-98.0,493.0,33.5,167.0,11.68649405,24.0,7.2507552870000005,19.0,10.98265896,1000.0,47.68717215,387.0,70.10869565,372.0,403.0,22625.0,83.0,284.0,0.0,72.0,25.35211268,65.84507042,8.917501192000001,0.0,0.0,248.0,1.0,1.0,13.364055300000002,0.0,0.0,0.0,0.0,297.0,141.6309013,"{'type': 'Polygon', 'coordinates': [[[10.08033198710408, 53.526621935215175], [10.080539015771073, 53.52502785929237], [10.083165257922584, 53.52445598980641], [10.085584585432631, 53.5254781847329], [10.085377675730534, 53.527072276124464], [10.082751319550297, 53.52764415712218], [10.08033198710408, 53.526621935215175]]]}",1
858,891f1537427ffff,0,0,0,0,1,0,2097.0,650.0,30.9966619,116.0,5.531711969,1635.0,77.96852647,1806.0,85.18867925,632.0,97.38058552,628.0,1.53343949,464.0,73.88535032,68.0,10.82802548,18.0,26.47058824,6.288611786000001,333.4599227,40.0,10.0,645.0,743.0,-98.0,493.0,33.5,167.0,11.68649405,24.0,7.2507552870000005,19.0,10.98265896,1000.0,47.68717215,387.0,70.10869565,372.0,403.0,22625.0,83.0,284.0,0.0,72.0,25.35211268,65.84507042,8.917501192000001,0.0,0.0,248.0,1.0,1.0,13.364055300000002,0.0,0.0,0.0,0.0,297.0,141.6309013,"{'type': 'Polygon', 'coordinates': [[[10.096089601724982, 53.523189847134105], [10.096296243276914, 53.52159559660726], [10.098922395190762, 53.521023308811166], [10.101342019514293, 53.52204526001209], [10.101135496947466, 53.52363952599071], [10.098509231068762, 53.524211825318005], [10.096089601724982, 53.523189847134105]]]}",1
859,891f153742fffff,0,0,0,0,1,0,2097.0,650.0,30.9966619,116.0,5.531711969,1635.0,77.96852647,1806.0,85.18867925,632.0,97.38058552,628.0,1.53343949,464.0,73.88535032,68.0,10.82802548,18.0,26.47058824,6.288611786000001,333.4599227,40.0,10.0,645.0,743.0,-98.0,493.0,33.5,167.0,11.68649405,24.0,7.2507552870000005,19.0,10.98265896,1000.0,47.68717215,387.0,70.10869565,372.0,403.0,22625.0,83.0,284.0,0.0,72.0,25.35211268,65.84507042,8.917501192000001,0.0,0.0,248.0,1.0,1.0,13.364055300000002,0.0,0.0,0.0,0.0,297.0,141.6309013,"{'type': 'Polygon', 'coordinates': [[[10.093876772304764, 53.520573550517035], [10.094083458251193, 53.51897924361337], [10.096709496202184, 53.518406967342614], [10.0991289621664, 53.519428986451544], [10.098922395190762, 53.521023308811166], [10.096296243276914, 53.52159559660726], [10.093876772304764, 53.520573550517035]]]}",1
860,891f1537433ffff,0,0,0,0,2,0,2097.0,650.0,30.9966619,116.0,5.531711969,1635.0,77.96852647,1806.0,85.18867925,632.0,97.38058552,628.0,1.53343949,464.0,73.88535032,68.0,10.82802548,18.0,26.47058824,6.288611786000001,333.4599227,40.0,10.0,645.0,743.0,-98.0,493.0,33.5,167.0,11.68649405,24.0,7.2507552870000005,19.0,10.98265896,1000.0,47.68717215,387.0,70.10869565,372.0,403.0,22625.0,83.0,284.0,0.0,72.0,25.35211268,65.84507042,8.917501192000001,0.0,0.0,248.0,1.0,1.0,13.364055300000002,0.0,0.0,0.0,0.0,297.0,141.6309013,"{'type': 'Polygon', 'coordinates': [[[10.088210862067644, 53.52490620491297], [10.088417697177716, 53.52331204168164], [10.091043894259494, 53.52273996304214], [10.093463370224725, 53.523762036113936], [10.093256654089668, 53.52535621480554], [10.090630343011126, 53.52592830496649], [10.088210862067644, 53.52490620491297]]]}",2
861,891f153743bffff,0,0,0,0,1,0,2097.0,650.0,30.9966619,116.0,5.531711969,1635.0,77.96852647,1806.0,85.18867925,632.0,97.38058552,628.0,1.53343949,464.0,73.88535032,68.0,10.82802548,18.0,26.47058824,6.288611786000001,333.4599227,40.0,10.0,645.0,743.0,-98.0,493.0,33.5,167.0,11.68649405,24.0,7.2507552870000005,19.0,10.98265896,1000.0,47.68717215,387.0,70.10869565,372.0,403.0,22625.0,83.0,284.0,0.0,72.0,25.35211268,65.84507042,8.917501192000001,0.0,0.0,248.0,1.0,1.0,13.364055300000002,0.0,0.0,0.0,0.0,297.0,141.6309013,"{'type': 'Polygon', 'coordinates': [[[10.085998374618793, 53.52228987373547], [10.086205254104323, 53.52069565413124], [10.088831337191353, 53.520123587007376], [10.091250654784357, 53.52114572797347], [10.091043894259494, 53.52273996304214], [10.088417697177716, 53.52331204168164], [10.085998374618793, 53.52228987373547]]]}",1
862,891f1537443ffff,0,0,0,0,1,0,1254.0,210.0,16.74641148,196.0,15.62998405,199.0,15.8692185,327.0,26.13908873,65.0,31.40096618,605.0,1.970247934,275.0,45.45454545,113.0,18.67768595,18.0,15.92920354,4.372494647,286.79280389999997,10.0,9.0,164.0,181.0,-17.0,479.0,53.8,45.0,5.102040816000001,0.0,0.0,13.0,8.024691358,83.0,6.618819777000001,18.0,10.22727273,51.0,565.0,34387.0,332.0,446.0,1.0,357.0,80.04484305,101.4103139,36.06778309,0.0,0.0,218.0,0.0,0.0,34.782608700000004,0.0,0.0,0.0,0.0,643.0,512.7591706999999,"{'type': 'Polygon', 'coordinates': [[[10.068651475818472, 53.51832168122415], [10.068858756435704, 53.516727451695445], [10.071484621945165, 53.516155727012936], [10.073903320871606, 53.51717822037416], [10.073696159164102, 53.51877246539054], [10.071070179617184, 53.5193442015594], [10.068651475818472, 53.51832168122415]]]}",1
863,891f1537447ffff,0,0,0,0,1,0,1254.0,210.0,16.74641148,196.0,15.62998405,199.0,15.8692185,327.0,26.13908873,65.0,31.40096618,605.0,1.970247934,275.0,45.45454545,113.0,18.67768595,18.0,15.92920354,4.372494647,286.79280389999997,10.0,9.0,164.0,181.0,-17.0,479.0,53.8,45.0,5.102040816000001,0.0,0.0,13.0,8.024691358,83.0,6.618819777000001,18.0,10.22727273,51.0,565.0,34387.0,332.0,446.0,1.0,357.0,80.04484305,101.4103139,36.06778309,0.0,0.0,218.0,0.0,0.0,34.782608700000004,0.0,0.0,0.0,0.0,643.0,512.7591706999999,"{'type': 'Polygon', 'coordinates': [[[10.073696159164102, 53.51877246539054], [10.073903320871606, 53.51717822037416], [10.076529220949322, 53.51660638538821], [10.078948073338841, 53.51762878392587], [10.07874103055328, 53.51922304442357], [10.076115016453016, 53.519794890903675], [10.073696159164102, 53.51877246539054]]]}",1
