,hex_id,bike_end,bike_start,geometry
22,891f15328bbffff,903,930,"{'type': 'Polygon', 'coordinates': [[[10.011920649173685, 53.522912977689906], [10.012129297898635, 53.521319175309536], [10.014755167322795, 53.52074883834833], [10.017172502257981, 53.52177229236054], [10.016963972340765, 53.523366110294106], [10.01433798867742, 53.52393645866367], [10.011920649173685, 53.522912977689906]]]}"
23,891f1532a03ffff,274,274,"{'type': 'Polygon', 'coordinates': [[[9.99205114867759, 53.49935235430854], [9.992260194547214, 53.49775804525399], [9.994885035913764, 53.49718781070371], [9.997300945627599, 53.498211873853855], [9.997092018436835, 53.49980619849924], [9.9944670628501, 53.50037644440503], [9.99205114867759, 53.49935235430854]]]}"
24,891f1532a23ffff,331,294,"{'type': 'Polygon', 'coordinates': [[[10.004966797343608, 53.49809504279288], [10.005175531261948, 53.496500630697334], [10.007800363818996, 53.49593007698386], [10.010216576628078, 53.49695392399422], [10.010007961411146, 53.49854835166578], [10.007383014680434, 53.49911891675236], [10.004966797343608, 53.49809504279288]]]}"
25,891f1532a3bffff,728,712,"{'type': 'Polygon', 'coordinates': [[[9.999925822155355, 53.49764152913199], [10.000134674762819, 53.496047132618784], [10.002759472223527, 53.49547668908342], [10.005175531261948, 53.496500630697334], [10.004966797343608, 53.49809504279288], [10.002341885694452, 53.498665497693516], [9.999925822155355, 53.49764152913199]]]}"
26,891f1532a47ffff,488,496,"{'type': 'Polygon', 'coordinates': [[[9.98763793107409, 53.49411529685547], [9.987847065092575, 53.49252087525543], [9.990471678025207, 53.491950663398555], [9.992887271151924, 53.49297486179935], [9.992678255783652, 53.49456929899856], [9.990053528635144, 53.49513952219921], [9.98763793107409, 53.49411529685547]]]}"
27,891f1532c87ffff,822,829,"{'type': 'Polygon', 'coordinates': [[[9.989238966543322, 53.54021994648683], [9.98944821253486, 53.53862671917012], [9.992074715221344, 53.53805717295513], [9.994492086287734, 53.53908084266539], [9.994282959120284, 53.54067408555242], [9.991656342059041, 53.54124364316025], [9.989238966543322, 53.54021994648683]]]}"
28,891f1532cb3ffff,122,114,"{'type': 'Polygon', 'coordinates': [[[9.994282959120284, 53.54067408555242], [9.994492086287734, 53.53908084266539], [9.99711862420274, 53.53851118620329], [9.999536149306916, 53.539534761228964], [9.999327140975804, 53.54112801968], [9.996700488700897, 53.54169768754276], [9.994282959120284, 53.54067408555242]]]}"
29,891f1532d23ffff,693,797,"{'type': 'Polygon', 'coordinates': [[[10.035890612875644, 53.53473897411427], [10.036098728210249, 53.53314535044703], [10.038725159389386, 53.532574636976285], [10.041143589433618, 53.53359753571885], [10.040935593000865, 53.5351911749036], [10.038309047618736, 53.53576189982964], [10.035890612875644, 53.53473897411427]]]}"
30,891f1532d7bffff,35,40,"{'type': 'Polygon', 'coordinates': [[[10.02138219021588, 53.52860028200012], [10.021590631744486, 53.52700657671788], [10.024216764647333, 53.526436106676556], [10.026634570246834, 53.52745933049097], [10.02642624756694, 53.529053051311735], [10.023800000435571, 53.52962353278095], [10.02138219021588, 53.52860028200012]]]}"
31,891f1532d97ffff,2153,2197,"{'type': 'Polygon', 'coordinates': [[[10.021715570684051, 53.54555809906749], [10.021924059323291, 53.543964834769824], [10.024550887067617, 53.54339461552498], [10.02696934045729, 53.544417649133585], [10.026760970730253, 53.54601092895946], [10.024134028698105, 53.546581159649904], [10.021715570684051, 53.54555809906749]]]}"
32,891f1532db7ffff,430,418,"{'type': 'Polygon', 'coordinates': [[[10.034641708089174, 53.54429981857414], [10.034849884221392, 53.54270645135197], [10.037476702526881, 53.54213591265511], [10.039895458937972, 53.54315872971867], [10.039687401740448, 53.54475211245429], [10.037060469193856, 53.545322662614296], [10.034641708089174, 53.54429981857414]]]}"
33,891f1532e33ffff,1319,1412,"{'type': 'Polygon', 'coordinates': [[[9.982292733414393, 53.515408624419244], [9.982502064172087, 53.513814787316186], [9.985127529238314, 53.51324502417803], [9.987543777852652, 53.514269086786804], [9.987334565812619, 53.51586293948302], [9.984708986437365, 53.51643271397868], [9.982292733414393, 53.515408624419244]]]}"
