name,population,Under_18s,Share_under_18s,65yo_and_older, share_65yo_and_older,Foreigners,share_foreigners,Pop_w_migration_bg,share_Pop_w_migration_bg,under_18_mig_bg,Share_under_18_mig_bg,hh,ppl_per_hh,single_per_hh,share_single_per_hh,hh_w_chld,share_hh_w_chld,sngl_parent,share_sngl_parent,area_km,pop_dnsty,births,deaths,immigration,moving_away,migr_balance,social_insur,employment_rate,unemployed,share_unemployed,yng_unemployed,share_yng_unemployed,old_unemployed,share_old_unemployed,sgb_2,share_sgb_2,under_15_min_security,share_under_15_min_security,Community_of_needs_sgb_2,taxpayers,total_income_per_taxpayer,residental_bldngs,apartments,ready_to_move_apt,apt_in_houses,share_apt_in_houses,apt_size,living_space_per_inhab,social_housing,share_social_housing,land_prices,kita_preschool,primary_schools,share_high_school_stud,doctors,practitioners,dentists,pharmacies,private_cars,car_density
Steilshoop,19662,3855,19.60634727,3884,19.75383989,4589,23.33943648,10109,51.41912513,2782,72.3348934,9765,2.022119816,4534,46.43113159,2189,22.41679467,700,31.97807218,2.498366932,7869.940859,245,160,1727,1528,199,6546,52.6,1110,8.865106621,110,4.811898513,179,7.669237361,4669,23.74631268,1512,46.42308873,2018,8598,22730,957,8851,85,335,3.784883064,74.00406734,33.31349812,2891,32.66297593,441,12,2,25.77639752,9,7,8,3,5692,289.4924219
Steinwerder,1243,70,5.631536605,67,5.390185036,464,37.32904264,615,49.63680387,61,88.4057971,973,1.304213772,759,78.0061665,38,3.905447071,17,44.73684211,11.90017659,104.4522315,7,7,383,360,23,547,50.2,95,8.520179372,6,1.769911504,12,11.11111111,185,14.88334674,34,55.73770492,128,588,13777,70,735,0,2,0.2721088435,50.58911565,29.91391794,0,0,0,0,0,20,0,0,0,0,118,94.93161706
Stellingen,25753,3565,13.84304741,4868,18.90265212,4649,18.05226576,8636,33.47546321,1733,48.52982358,14618,1.703858257,8400,57.46340129,2229,15.24832398,517,23.19425751,6.089201464,4229.290187,294,243,3935,3913,22,10633,60.1,852,4.791362052,61,2.177793645,139,5.140532544,1958,7.602997709,405,13.05188527,1259,12277,32600,2783,13815,107,1688,12.21860297,69.79182048,37.43928863,197,1.425986247,491,11,3,50.61043285,37,13,8,3,8123,315.4195628
Sternschanze,8080,1146,14.18316832,828,10.24752475,1612,19.95049505,2962,36.6448101,587,51.35608049,5250,1.559047619,3542,67.46666667,759,14.45714286,232,30.56653491,0.5484489044,14732.45718,97,110,1254,1221,33,3399,54,388,6.197093116,20,2.762430939,53,8.255451713,883,10.92821782,211,21.29162462,513,4147,31125,498,4305,0,80,1.858304297,68.25969803,36.36856436,456,10.59233449,1316,4,1,42.16027875,39,6,4,2,1447,179.0841584
Sülldorf,9542,1888,19.78620834,1959,20.53028715,1295,13.57157829,2313,24.20975508,592,31.3559322,4567,1.98970878,2123,46.48565798,1037,22.7063718,231,22.27579556,5.736183842,1663.475276,85,82,1020,910,110,3051,50.8,297,4.930278884,27,2.571428571,55,4.661016949,776,8.132466988,190,12.18729955,448,4247,43584,2414,4431,50,2274,51.32024374,90.88061386,42.20205408,200,4.513653803,759,2,1,55.93220339,13,7,3,2,3713,389.1217774
Tatenberg,558,101,18.10035842,108,19.35483871,34,6.093189964,65,11.71171171,13,12.87128713,251,2.227091633,88,35.05976096,63,25.09960159,7,11.11111111,3.066091996,181.9906254,1,5,28,28,0,245,66.9,10,2.747252747,0,0,0,0,7,1.254480287,0,0,5,260,42598,168,227,2,191,84.14096916,115,46.78315412,0,0,240,0,0,48.71794872,0,0,0,0,300,537.6344086
Tonndorf,14812,2595,17.51957872,2694,18.18795571,2399,16.1963273,5785,39.10369069,1526,59.10147173,8071,1.85801016,4180,51.79036055,1592,19.72494115,373,23.42964824,3.941131817,3758.311239,178,143,1590,1536,54,5930,60.2,557,5.621719822,50,3.322259136,110,6.444053896,1610,10.86956522,472,21.35746606,848,7211,32210,2311,7430,18,1778,23.93001346,76.27860027,38.26289495,817,10.99596231,444,5,1,37.6146789,22,7,10,3,5555,375.0337564
Uhlenhorst,18017,2274,12.62141311,3489,19.36504412,1940,10.76760837,4370,24.27777778,831,36.86779059,11448,1.605433263,7137,62.3427673,1554,13.57442348,307,19.75546976,2.180611753,8262.360311,235,173,2504,2150,354,7548,61,340,2.721088435,9,0.7092198582,65,3.41745531,425,2.358883277,56,2.754549926,317,9924,62479,1209,10729,79,243,2.264889552,78.42436387,46.70117112,179,1.668375431,3190,10,1,75.56818182,91,23,19,4,6311,350.2802908
Veddel,4667,925,19.82001286,388,8.313691879,2106,45.12534819,3374,72.31033005,848,91.87432286,2510,1.880079681,1433,57.09163347,520,20.71713147,146,28.07692308,4.371206162,1067.6687,52,15,609,583,26,1769,51.5,333,9.511568123,29,3.903095559,36,10.34482759,1118,23.95543175,334,42.93059126,505,1911,15831,210,2040,0,14,0.6862745098,60.96372549,26.64795372,413,20.24509804,247,2,1,17.05882353,3,3,3,0,787,168.6308121
Volksdorf,20694,4182,20.20875616,5450,26.33613608,1387,6.702425824,3383,16.3698829,1039,24.95796301,9495,2.156924697,3578,37.68299105,2385,25.11848341,505,21.17400419,11.57624444,1787.626385,142,250,1628,1459,169,6033,50.6,270,2.267002519,14,0.6383948928,59,2.12077642,692,3.343964434,205,6.148770246,355,9494,63763,5529,9054,47,5304,58.58184228,112.7043296,49.31018653,668,7.377954495,658,13,4,59.58142577,87,26,29,5,9297,449.2606553
Waltershof,11765,1896,16.11559711,2316,19.68550786,1985,16.8720782,3511,29.88085106,892,47.29586426,6341,1.8683173,3222,50.81217474,1168,18.4198076,316,27.05479452,29.42050989,399.8910979,121,119,870,784,86,4802,61.1,404,5.123652505,26,1.977186312,76,4.622871046,1097,9.324266893,293,18.73401535,596,5919,31649,2299,5777,0,1915,33.14869309,75.49108534,37.06859329,701,12.13432577,296,5,2,40.99821747,7,5,7,3,4386,372.80068
Wandsbek,35768,4743,13.26045627,6550,18.31245806,6486,18.13352718,12723,35.56493543,2885,61.22665535,21540,1.619266481,13198,61.272052,2774,12.87836583,702,25.30641673,5.943579273,6017.922595,441,332,5628,4535,1093,15650,62.4,1217,4.847446825,100,2.628120894,212,5.548285789,3896,10.8924178,1119,27.21303502,2033,17913,28567,3917,19962,62,2265,11.34655846,65.16751828,36.36977186,901,4.513575794,491,15,5,43.98111723,63,27,43,9,11502,321.5723552
Wellingsbüttel,10570,1940,18.3538316,2976,28.1551561,639,6.045411542,1822,17.24072672,496,25.59339525,5168,2.05746904,2119,41.00232198,1152,22.29102167,153,13.28125,4.086535528,2586.543033,107,143,1000,875,125,3105,51.9,119,1.991965182,4,0.4329004329,32,2.549800797,155,1.46641438,33,2.037037037,103,5156,88606,2873,5108,43,2703,52.91699295,120.2314017,58.10236518,22,0.430696946,856,6,1,78.35703002,25,7,12,2,5269,498.4862819
Wilhelmsburg,54169,11236,20.74249109,7294,13.46526611,17593,32.47798556,32447,59.94273046,8767,78.4027902,26250,2.033904762,12879,49.06285714,6068,23.11619048,1604,26.43375082,35.38672277,1530.771876,743,475,5229,6176,-947,19577,51.9,3399,9.066175882,282,3.88858246,424,8.05777271,11703,21.6046078,3666,39.06649616,5255,21384,21890,4653,22618,55,3174,14.03307101,69.68949509,29.09850653,5245,23.18949509,231,27,7,22.66483516,71,39,22,9,13544,250.0323063
Wilstorf,17437,3059,17.54315536,3354,19.23496014,4121,23.63365258,7740,44.38582406,2079,68.36566919,9455,1.841671074,5003,52.91380222,1802,19.0586991,484,26.8590455,3.42282301,5094.332938,232,236,2013,1723,290,6702,58.6,693,6.032381616,56,2.910602911,110,5.735140772,2426,13.91294374,772,29.7495183,1139,7823,25518,2049,8689,196,1452,16.71078375,69.05236506,34.40935941,886,10.19680055,324,11,1,34.64755078,23,12,5,2,5494,315.0771348
Winterhude,55651,6973,12.52987368,8101,14.55679143,6847,12.30346265,13449,24.13762159,2463,35.32195612,35750,1.566685315,23261,65.06573427,4691,13.12167832,1059,22.57514389,7.584308633,7337.649704,777,340,7560,7224,336,25894,62.8,1356,3.274729521,95,1.873767258,259,4.735783507,2372,4.262277407,418,6.805600782,1610,29898,51627,3651,32860,256,725,2.206329884,69.88420572,41.26421807,552,1.679853926,2855,42,5,58.7088916,230,39,78,14,17559,315.5199367
Wohldorf-Ohlstedt,4585,963,21.00327154,970,21.15594329,215,4.689203926,623,13.53465131,204,21.13989637,2034,2.324483776,628,30.87512291,560,27.53195674,79,14.10714286,17.28852817,265.204762,39,41,345,385,-40,1314,45.7,46,1.619148187,3,0.6097560976,12,1.818181818,80,1.744820065,25,3.22997416,41,2066,94234,1525,1967,45,1569,79.76614133,143.5958312,61.60370774,0,0,520,4,1,65.81196581,0,0,4,1,2491,543.2933479
